cd_id,stable_2013,stable_2019,other_status_2019,year_stable
CD007692,y,y,Nil,2011
CD007731,n,y,Nil,
CD007753,n,y,Nil,
CD007760,n,y,Nil,
CD007770,n,y,Nil,
CD007771,y,y,Nil,2012
CD007819,n,y,Nil,
CD007869,n,y,Nil,
CD007881,n,y,Nil,
CD007887,n,y,Nil,
CD007924,n,y,Nil,
CD007927,n,y,Nil,
CD007928,n,y,Nil,
CD007938,n,y,Nil,
CD008000,n,y,Nil,
CD008006,n,y,Nil,
CD008025,n,y,Nil,
CD008039,n,y,Nil,
CD008040,n,y,Nil,
CD008041,n,y,Nil,
CD008042,n,y,Nil,
CD008088,n,y,Nil,
CD008099,y,y,Nil,2010
CD008144,n,y,Nil,
CD008183,y,y,Nil,2012
CD008216,n,y,Nil,
CD008236,n,y,Nil,
CD008242,n,y,Nil,
CD008244,n,y,Nil,
CD008285,n,y,Nil,
CD008307,n,y,Nil,
CD008314,n,y,Nil,
CD008320,n,y,Nil,
CD008408,n,y,Nil,
CD008411,n,y,Nil,
CD008464,n,y,Nil,
CD008536,n,y,Nil,
CD008541,n,y,Nil,
CD008575,n,y,Nil,
CD008596,n,y,Nil,
CD008609,n,y,Nil,
CD008615,n,y,Nil,
CD008616,n,y,Nil,
CD008642,n,y,Nil,
CD008651,y,y,Nil,2011
CD008659,n,y,Nil,
CD008734,n,y,Nil,
CD008768,n,y,Nil,
CD008783,n,y,Nil,
CD008838,n,y,Nil,
CD008918,n,y,Nil,
CD008935,n,y,Nil,
CD008943,n,y,Nil,
CD008955,n,y,Nil,
CD009007,n,y,Nil,
CD009017,n,y,Nil,
CD009108,n,y,Nil,
CD009183,n,y,Nil,
CD009199,n,y,Nil,
CD009204,n,y,Nil,
CD009281,n,y,Nil,
CD009318,n,y,Nil,
CD009389,n,y,Nil,
CD009416,n,y,Nil,
CD009419,n,y,Nil,
CD009420,n,y,Nil,
CD009455,n,y,Nil,
CD009481,n,y,Nil,
CD009485,n,y,Nil,
CD009486,n,y,Nil,
CD009509,n,y,Nil,
CD009535,n,y,Nil,
CD009574,n,y,Nil,
CD009583,n,y,Nil,
CD009596,n,y,Nil,
CD009620,n,y,Nil,
CD009663,n,y,Nil,
CD009664,n,y,Nil,
CD009665,n,y,Nil,
CD009688,n,y,Nil,
CD009796,n,y,Nil,
CD009873,n,y,Nil,
CD009888,n,y,Nil,
CD009984,n,y,Nil,
CD010107,n,y,Nil,
CD010111,n,y,Nil,
CD010152,n,y,Nil,
CD010206,n,y,Nil,
CD010210,n,y,Nil,
CD010240,n,y,Nil,
CD010270,n,y,Nil,
CD010289,n,y,Nil,
CD010529,n,y,Nil,
CD010567,n,y,Nil,
CD010608,n,y,Nil,
CD010609,n,y,Nil,
CD010610,n,y,Nil,
CD010611,n,y,Nil,
CD010681,n,y,Nil,
CD010692,n,y,Nil,
CD010750,n,y,Nil,
CD010756,n,y,Nil,
CD010769,n,y,Nil,
CD010794,n,y,Nil,
CD010804,n,y,Nil,
CD010902,n,y,Nil,
CD010943,n,y,Nil,
CD010958,n,y,Nil,
CD010967,n,y,Nil,
CD011003,n,y,Nil,
CD011008,n,y,Nil,
CD011056,n,y,Nil,
CD011091,n,y,Nil,
CD011118,n,y,Nil,
CD011122,n,y,Nil,
CD011131,n,y,Nil,
CD011209,n,y,Nil,
CD011241,n,y,Nil,
CD011248,n,y,Nil,
CD011259,n,y,Nil,
CD011404,n,y,Nil,
CD011407,n,y,Nil,
CD011421,n,y,Nil,
CD011460,n,y,Nil,
CD011474,n,y,Nil,
CD011476,n,y,Nil,
CD011509,n,y,Nil,
CD011603,n,y,Nil,
CD011604,n,y,Nil,
CD011605,n,y,Nil,
CD011669,n,y,Nil,
CD011694,n,y,Nil,
CD011789,n,y,Nil,
CD011790,n,y,Nil,
CD011824,n,y,Nil,
CD011888,n,y,Nil,
CD011889,n,y,Nil,
CD011890,n,y,Nil,
CD011930,n,y,Nil,
CD011976,n,y,Nil,
CD012002,n,y,Nil,
CD012030,n,y,Nil,
CD012051,n,y,Nil,
CD012057,n,y,Nil,
CD012172,n,y,Nil,
CD012188,n,y,Nil,
CD012190,n,y,Nil,
CD012227,n,y,Nil,
CD012232,n,y,Nil,
CD012295,n,y,Nil,
CD012329,n,y,Nil,
CD012332,n,y,Nil,
CD012499,n,y,Nil,
CD012508,n,y,Nil,
CD012535,n,y,Nil,
CD012536,n,y,Nil,
CD012537,n,y,Nil,
CD012538,n,y,Nil,
CD012539,n,y,Nil,
CD012563,n,y,Nil,
CD012564,n,y,Nil,
CD012592,n,y,Nil,
CD012637,n,y,Nil,
CD012638,n,y,Nil,
